Reference,Description_1,Unit_L,Unit_W,Unit_H,Test_Peformed,Materials,Price,Description_2,Price_Type,MOQ,Qty_Per_Carton,Carton_L,Carton_W,Carton_H
HP-L190927,Halloween Skull headband,17,22,,,Alloy/Resin/Plastic/ABS,2.6,,1,,,,,
HP-L190928,Headband,17,22,,,Alloy/Resin/Plastic/ABS,3.85,,1,,,,,
HP-L190929,Halloween necklace,40,,,,Alloy/Resin/Plastic/ABS,2.8,,1,,,,,
HP-L190930,Halloween web necklace,,,,,Alloy/Resin/Plastic/ABS,4.42,,1,,,,,
HP-L190931,Halloween earring,,,,,Alloy/Resin/Plastic/ABS,1.85,,1,,,,,
HP-L190932,Halloween earring,,,,,Alloy/Resin/Plastic/ABS,2.73,,1,,,,,
HP-L190937,Mermaid headband,17,22,,Y,Plastic/Resin/ABS,4.5,,1,,,,,
HP-L190938,Mermaid headband,17,22,,,Alloy/Resin/Plastic/ABS,4.7,,1,,,,,
HP-L190939,Mermaid headband,17,22,,,Alloy/Resin/Plastic/ABS,3.99,,1,,,,,
HP-L190940,Mermaid headband,17,22,,,Alloy/Resin/Plastic/ABS,3.8,,1,,,,,
HP-L190941,Mermaid headband,17,22,,,Alloy/Resin/Plastic/ABS,4.3,,1,,,,,
HP-L190942,Mermaid headband,17,22,,,Alloy/Resin/Plastic/ABS,4.29,,1,,,,,
HP-L190943,Shell headband,17,22,,,Alloy/Resin/Plastic/ABS,5.4,,1,,,,,
HP-L190944,Shell headband,17,22,,,Alloy/Resin/Plastic/ABS,5.4,,1,,,,,
HP-L190946,Party Crown,,,,,Alloy/Resin/Plastic/ABS,16.9, PVC Box,1,,,,,
HP-L190947,Party Crown,,,,,Alloy/Resin/Plastic/ABS,16.6, PVC Box,1,,,,,
HP-L190948,Party Crown,,,,,Alloy/Resin/Plastic/ABS,17.9, PVC Box,1,,,,,
HP-L190949,Party Crown,,,,,Alloy/Resin/Plastic/ABS,17.62, PVC Box,1,,,,,
HP-L190951,Party Crown,,,,,Alloy/Resin/Plastic/ABS,15.73, PVC Box,1,,,,,
HP-L190952,Party Crown,,,,,Alloy/Resin/Plastic/ABS,10.95, PVC Box,1,,,,,
HP-L191014,Halloween necklace,40,,,,Alloy/Resin/Plastic/ABS,2.21,,1,,,,,
HP-L191014A,Halloween necklace,40,,,,Alloy/Resin/Plastic/ABS,2.21,,1,,,,,
HP-L191014B,Halloween necklace,40,,,,Alloy/Resin/Plastic/ABS,2.21,,1,,,,,
HP-L191024C,Halloween necklace,40,,,,Alloy/Resin/Plastic/ABS,2.28,,1,,,,,
HP-L20061401,Flamingo headband,28,22,1.5,,,3.08,,1,2800,,,,
HP-L20061402,Palm headband,23,24,1.5,,,3.13,,1,2800,,,,
HP-L20061403,Glitter cats ear headband,16,19,1,,,2.3,,1,2800,,,,
HP-L200004,Halloween earring,30,25,25,,,3.29,,1,,,,,
HP-L200005,Halloween earring,30,25,25,,,3.29,,1,,,,,
HP-L200006,Halloween earring,25,20,25,,,3.3,,1,,,,,
HP-L200007,Halloween earring,25,20,25,,,3.4,,1,,,,,
HP-L200008,Halloween earring,30,25,25,,,3.2,,1,,,,,
HP-L200009,Halloween necklace,30,25,25,,,2.8,,1,,,,,
HP-L200010,Halloween necklace,30,30,25,,,3.3,,1,,,,,
HP-L200011,Halloween necklace,30,30,30,,,4.1,,1,,,,,
HP-L200012,Halloween necklace,30,30,25,,,3.7,,1,,,,,
HP-L200013,Halloween necklace,35,30,30,,,3.7,,1,,,,,
HP-L200014,Halloween necklace,35,30,30,,,3.66,,1,,,,,
HP-L200015,Halloween necklace,30,25,30,,,3.5,,1,,,,,
HP-L200016,Halloween necklace,30,25,30,,,2.85,,1,,,,,
HP-L200017,Halloween necklace,30,25,30,,,3.55,,1,,,,,
HP-L200018,Halloween necklace,30,25,30,,,3.95,,1,,,,,
HP-L200019,Halloween necklace,35,30,30,,,3.7,,1,,,,,
HP-L200020,Halloween necklace,30,25,30,,,3,,1,,,,,
HP-L200021,Halloween necklace,35,30,30,,,3.6,,1,,,,,
HP-L200022,Halloween necklace,30,25,30,,,3.8,,1,,,,,
HP-L200023,Halloween necklace,30,25,30,,,3.65,,1,,,,,
HP-L200024,Halloween necklace,30,25,30,,,3.6,,1,,,,,
HP-L200025,Halloween bracelet,40,35,40,,,3.25,,1,,,,,
HP-L200026,Halloween bracelet,40,35,40,,,3.4,,1,,,,,
HP-L200027,Halloween bracelet,45,40,45,,,3.4,,1,,,,,
HP-L200028,Mermaid headband,45,40,40,,,2.8,,1,,,,,
HP-L200029,Mermaid headband,45,40,40,,,3.3,,1,,,,,
HP-L200030,Mermaid headband,45,40,40,,,3.3,,1,,,,,
HP-L200031,Bunny headband,45,35,40,,,6.9,,1,,,,,
HP-L200032,Mermaid headband,35,20,25,,,3.98,,1,,,,,
HP-L200033,Mermaid headband,45,40,40,,,4.2,,1,,,,,
HP-L200034,Mermaid headband,40,35,40,,,5.6,,1,,,,,
HP-L220923,Halloween necklace,,,,,,2.5,,1,,144,30,30,30
HP-L220924,Halloween necklace,,,,,,1.7,,1,,144,30,30,30
HP-L181021,Halloween necklace,,,,,,4.8,,1,,120,35,30,30
HP-L38734_ROC,Halloween necklace,,,,,,4.1,,1,,,,,
HP-L38734_DIV,Halloween necklace,,,,,,4,,1,,,,,
