Reference,Unit_L,Unit_W,Unit_H,Carton_L,Carton_W,Carton_H,Qty_Per_Carton,Description_1,Price,Inner,Material,Price_Type,MOQ
CEFC20441-1,24,16,10,,,,,Blue beast helmet,5.5,,,2,
CEFC20442,41,28,5,,,,,Golden fierce beast armor,13,12,,2,
CEFC20442-1,24,16,10,,,,,Golden beast helmet,5.5,12,,2,
CEFC20500,26,30,,53,28,60,,古罗马头盔,13,6,,2,
CEFC20500-1,,,,,,,,金色,13,,,2,
CEFC20501,55,47.5,5.5,56,48,60,,古罗马凯甲,15,6,,2,
CEFC20501-1,,,,,,,,金色,15,,,2,
CEFC20502,43,68,1.5,45,32,70,,古罗马凯甲裙,15,6,,2,
CEFC20502-1,,,,,,,,金色,15,,,2,
CEFC20503,22,31.5,,45,25,60,,,13,6,,2,
CEFC20504,51,46,7.5,52,48,60,,,12,6,,2,
CEFC20506,,,,,,,,,15,,,2,
CEFC20507,,,,,,,,,18,,,2,
CEFC20507-1,,,,,,,,,18,,,2,
CEFC20507-2,,,,,,,,,18,,,2,
CEFC20511,,,,,,,,仿古骷髅头头盔,18,6,,2,
CEFC20511-1,,,,,,,,夜光骷髅头头盔,25,6,,2,
CEFC20512,,,,,,,,古铜色罗马头盔,15,6,,2,
CEFC20514,,,,,,,,,60,,,2,
CEFC20515,,,,,,,,,15,,,2,
CEFC20515-1,,,,,,,,,15,,,2,
CEFC20516,,,,,,,,罗马宝剑带剑削套装,25,6,,2,
CEFC20517,,,,,,,,古铜斗牛士面具,8,6,,2,
CEFC20518,,,,,,,,古铜斗牛士面具,8,6,,2,
CEFC20519,,,,,,,,,15,,,2,
CEFC20521,,,,,,,,,15,,,2,
CEFC20521-1,,,,,,,,,15,,,2,
CEFC20523A,,,,,,,,,6,,,2,
CEFC20523B,,,,,,,,,6,,,2,
CEFC20523C,,,,,,,,破角仿古砍刀,7,6,,2,
CEFC20523D,,,,,,,,砍刀,8,6,,2,
CEFC20524,,,,,,,,,20,,,2,
CEFC20524-1,,,,,,,,万圣节骨架衣服,30,1,,2,
CEFC20526,,,,,,,,,18,,,2,
CEFC20526-1,,,,,,,,,28,,,2,
CEFC20527,,,,,,,,,18,,,2,
CEFC20527-1,,,,,,,,万圣节骨架衣服,18.5,1,,2,
CEFC20528,,,,,,,,,20,,,2,
CEFC20529,,,,,,,,,7,,,2,
CEFC20530,,,,,,,,胸罩,4.5,25,,2,
CEFC20530-1 ,,,,,,,,夜光胸罩,8,25,,2,
CEFC20530-2,,,,,,,,,6,,,2,
CEFC20530-3,,,,,,,,,6,,,2,
CEFC20530-4,,,,,,,,,5.5,,,2,
CEFC20531,,,,,,,,,7,,,2,
CEFC20532,,,,,,,,,10,,,2,
CEFC20533,,,,,,,,,30,,,2,
CEFC20534,,,,,,,,,15,,,2,
CEFC20537,,,,,,,,,15,,,2,
CEFC20539,,,,,,,,,15,,,2,
CEFC20540,,,,,,,,,25,,,2,
CEFC20541,,,,,,,,,25,,,2,
CEFC20542,,,,,,,,,25,,,2,
CEFC20550,,,,,,,,,25,,,2,
CEFC20551,,,,,,,,,25,,,2,
CEFC20552,,,,,,,,,6,,,2,
CEFC20553,,,,,,,,牛仔帽子,9,6,,2,
CEFC20555,,,,,,,20,太空头盔,25,,,2,
CEFC20556,,,,,,,,,10,,,2,
CEFC20556-1,,,,,,,,,12,,,2,
CEFC20557,,,,,,,,,20,,,2,
CEFC20557-1,,,,,,,,成人,20,,,2,
CEFC20557-2,,,,,,,,儿童,20,,,2,
CEFC20557-3,,,,,,,,儿童,20,,,2,
CEFC20558,,,,,,,,,25,,,2,
CEFC20558-1,,,,,,,,,25,,,2,
CEFC20560,,,,,,,,EVA狐狸,8,,,2,
CEFC20600,,,,,,,,罗西（母猪）,4.5,25,,2,
CEFC20601,,,,,,,,公猪,4.5,25,,2,
CEFC20602,,,,,,,,老鼠,5,25,,2,
CEFC20603,,,,,,,,月伯乐（考拉）,5,25,,2,
CEFC20604,,,,,,,,米娜（女象）,5,25,,2,
CEFC20605,,,,,,,,艾什（刺猬）,7,25,,2,
CEFC20606,,,,,,,,黑猩猩,6,25,,2,
CEFC20607,,,,,,,,埃及艳后,8,25,,2,
CEFC20608,,,,,,,,吸血鬼(大),8,25,,2,
CEFC20608-1,,,,,,,,吸血鬼(小),6,25,,2,
CEFC30123,,,,,,,,狐猴,5,,,2,
CEFC30124,,,,,,,,浣熊,5,,,2,
CEFC30125,,,,,,,,恐龙,8,,,2,
CEFC30126,,,,,,,,鲨鱼,8,,,2,
CEFC30127,,,,,,,,狼,5.5,,,2,
CEFC30128,,,,,,,,猛犸象,5.5,,,2,
CEFC30129,,,,,,,,亮片蝴蝶,6,,,2,
CEFC31006,,,,,,,,卡通考拉,7,,,2,
CEFC31007,,,,,,,,卡通老虎,6,,,2,
CEFC31008,,,,,,,,卡通猫,6,,,2,
CEFC31009,,,,,,,,卡通狐狸（红）,5.5,,,2,
CEFC31010,,,,,,,,卡通狐狸（棕）,5.5,,,2,
CEFC4001,,,,,,,,骷髅鬼,6,,,2,
CEFC4002,,,,,,,,食尸鬼,6,,,2,
CEFC49118,,,,,,,,PVC,6.5,,,2,
CEFC49119,,,,,,,,PVC,7.5,,,2,
